round,beta,J_values,theat,emprical,False Negative,False Positive,pairty,emprical_total,False Negative_total,False Positive_total
1,   0.90092,18885,-454.50000,   0.19528,   0.00800,   0.18727,-1,   0.20688,   0.01200,   0.19488
2,   1.04491,8108,-349.50000,   0.19528,   0.00080,   0.19448,-1,   0.20688,   0.01200,   0.19488
3,   1.00000,8108,-349.50000,   0.19528,   0.00080,   0.19448,-1,   0.20688,   0.01200,   0.19488
4,   1.00000,8108,-349.50000,   0.19528,   0.00080,   0.19448,-1,   0.20688,   0.01200,   0.19488
5,   1.00000,8108,-349.50000,   0.19528,   0.00080,   0.19448,-1,   0.20688,   0.01200,   0.19488
