round,beta,J_values,theat,emprical,False Negative,False Positive,pairty,emprical_total,False Negative_total,False Positive_total
1,   1.08549,1260, 484.50000,   0.23489,   0.03601,   0.19888,1,   0.23489,   0.03601,   0.19888
2,   1.02635,7898, 220.50000,   0.24410,   0.04602,   0.19808,1,   0.23489,   0.03601,   0.19888
3,   0.97907,342, 429.50000,   0.23329,   0.03441,   0.19888,1,   0.23489,   0.03601,   0.19888
4,   1.00000,342, 429.50000,   0.23329,   0.03441,   0.19888,1,   0.23489,   0.03601,   0.19888
5,   1.00000,342, 429.50000,   0.23329,   0.03441,   0.19888,1,   0.23489,   0.03601,   0.19888
