round,beta,J_values,theat,emprical,False Negative,False Positive,pairty,emprical_total,False Negative_total,False Positive_total
1,   0.51723,8106, -85.50000,   0.31813,   0.09364,   0.22449,-1,   0.68187,   0.10604,   0.57583
2,   0.19826,22436, 185.00000,   0.30332,   0.14006,   0.16327,1,   0.69668,   0.05962,   0.63705
3,   0.01346,22436, 185.00000,   0.30332,   0.14006,   0.16327,1,   0.69668,   0.05962,   0.63705
4,   0.00008,22436, 185.00000,   0.30332,   0.14006,   0.16327,1,   0.69668,   0.05962,   0.63705
5,   0.00000,22436, 185.00000,   0.30332,   0.14006,   0.16327,1,   0.69668,   0.05962,   0.63705
