round,beta,J_values,theat,emprical,False Negative,False Positive,pairty,emprical_total,False Negative_total,False Positive_total
1,   0.81849,8106, -85.50000,   0.31813,   0.22449,   0.09364,-1,   0.28892,   0.11405,   0.17487
2,   0.48164,666, 253.50000,   0.47499,   0.41617,   0.05882,-1,   0.80032,   0.80032,   0.00000
3,   0.69795,8140, -33.50000,   0.42737,   0.33093,   0.09644,-1,   0.80032,   0.80032,   0.00000
4,   0.65344,7960, -27.00000,   0.42337,   0.34174,   0.08163,-1,   0.64866,   0.58944,   0.05922
5,   0.57279,7959, -20.50000,   0.44418,   0.36455,   0.07963,-1,   0.73990,   0.68547,   0.05442
